instance_id,n,density_target,seed,method,run_index,run_seed,eval_budget,objective_evaluations,best_cut,best_ratio,optimum_hit,evidence_label,target_q090_hit,target_q095_hit,target_q100_hit,oper_l025_hit,oper_l040_hit,oper_l055_hit,curve_budget
n8_d25_s17,8,0.25,17,simulated_annealing,0,1507171,64,64,39,0.975,0,fixed-objective-evaluation-budget classical heuristic; exact optimum used only for retrospective scoring,1,1,0,1,1,1,64
n8_d25_s17,8,0.25,17,simulated_annealing,1,1507172,64,64,40,1.0,1,fixed-objective-evaluation-budget classical heuristic; exact optimum used only for retrospective scoring,1,1,1,1,1,1,64
n8_d25_s17,8,0.25,17,simulated_annealing,2,1507173,64,64,40,1.0,1,fixed-objective-evaluation-budget classical heuristic; exact optimum used only for retrospective scoring,1,1,1,1,1,1,64
n8_d25_s17,8,0.25,17,simulated_annealing,3,1507174,64,64,40,1.0,1,fixed-objective-evaluation-budget classical heuristic; exact optimum used only for retrospective scoring,1,1,1,1,1,1,64
n8_d25_s17,8,0.25,17,simulated_annealing,4,1507175,64,64,40,1.0,1,fixed-objective-evaluation-budget classical heuristic; exact optimum used only for retrospective scoring,1,1,1,1,1,1,64
n8_d25_s17,8,0.25,17,simulated_annealing,5,1507176,64,64,40,1.0,1,fixed-objective-evaluation-budget classical heuristic; exact optimum used only for retrospective scoring,1,1,1,1,1,1,64
n8_d25_s17,8,0.25,17,simulated_annealing,6,1507177,64,64,40,1.0,1,fixed-objective-evaluation-budget classical heuristic; exact optimum used only for retrospective scoring,1,1,1,1,1,1,64
n8_d25_s17,8,0.25,17,simulated_annealing,7,1507178,64,64,40,1.0,1,fixed-objective-evaluation-budget classical heuristic; exact optimum used only for retrospective scoring,1,1,1,1,1,1,64
n8_d25_s17,8,0.25,17,simulated_annealing,8,1507179,64,64,39,0.975,0,fixed-objective-evaluation-budget classical heuristic; exact optimum used only for retrospective scoring,1,1,0,1,1,1,64
n8_d25_s17,8,0.25,17,simulated_annealing,9,1507180,64,64,39,0.975,0,fixed-objective-evaluation-budget classical heuristic; exact optimum used only for retrospective scoring,1,1,0,1,1,1,64
n8_d25_s17,8,0.25,17,simulated_annealing,10,1507181,64,64,40,1.0,1,fixed-objective-evaluation-budget classical heuristic; exact optimum used only for retrospective scoring,1,1,1,1,1,1,64
n8_d25_s17,8,0.25,17,simulated_annealing,11,1507182,64,64,40,1.0,1,fixed-objective-evaluation-budget classical heuristic; exact optimum used only for retrospective scoring,1,1,1,1,1,1,64
n8_d25_s17,8,0.25,17,simulated_annealing,12,1507183,64,64,40,1.0,1,fixed-objective-evaluation-budget classical heuristic; exact optimum used only for retrospective scoring,1,1,1,1,1,1,64
n8_d25_s17,8,0.25,17,simulated_annealing,13,1507184,64,64,39,0.975,0,fixed-objective-evaluation-budget classical heuristic; exact optimum used only for retrospective scoring,1,1,0,1,1,1,64
n8_d25_s17,8,0.25,17,simulated_annealing,14,1507185,64,64,40,1.0,1,fixed-objective-evaluation-budget classical heuristic; exact optimum used only for retrospective scoring,1,1,1,1,1,1,64
n8_d25_s17,8,0.25,17,simulated_annealing,15,1507186,64,64,39,0.975,0,fixed-objective-evaluation-budget classical heuristic; exact optimum used only for retrospective scoring,1,1,0,1,1,1,64
n8_d25_s17,8,0.25,17,simulated_annealing,16,1507187,64,64,39,0.975,0,fixed-objective-evaluation-budget classical heuristic; exact optimum used only for retrospective scoring,1,1,0,1,1,1,64
n8_d25_s17,8,0.25,17,simulated_annealing,17,1507188,64,64,39,0.975,0,fixed-objective-evaluation-budget classical heuristic; exact optimum used only for retrospective scoring,1,1,0,1,1,1,64
n8_d25_s17,8,0.25,17,simulated_annealing,18,1507189,64,64,39,0.975,0,fixed-objective-evaluation-budget classical heuristic; exact optimum used only for retrospective scoring,1,1,0,1,1,1,64
n8_d25_s17,8,0.25,17,simulated_annealing,19,1507190,64,64,39,0.975,0,fixed-objective-evaluation-budget classical heuristic; exact optimum used only for retrospective scoring,1,1,0,1,1,1,64
n8_d25_s17,8,0.25,17,simulated_annealing,20,1507191,64,64,39,0.975,0,fixed-objective-evaluation-budget classical heuristic; exact optimum used only for retrospective scoring,1,1,0,1,1,1,64
n8_d25_s17,8,0.25,17,simulated_annealing,21,1507192,64,64,39,0.975,0,fixed-objective-evaluation-budget classical heuristic; exact optimum used only for retrospective scoring,1,1,0,1,1,1,64
n8_d25_s17,8,0.25,17,simulated_annealing,22,1507193,64,64,39,0.975,0,fixed-objective-evaluation-budget classical heuristic; exact optimum used only for retrospective scoring,1,1,0,1,1,1,64
n8_d25_s17,8,0.25,17,simulated_annealing,23,1507194,64,64,39,0.975,0,fixed-objective-evaluation-budget classical heuristic; exact optimum used only for retrospective scoring,1,1,0,1,1,1,64
n8_d25_s17,8,0.25,17,simulated_annealing,24,1507195,64,64,40,1.0,1,fixed-objective-evaluation-budget classical heuristic; exact optimum used only for retrospective scoring,1,1,1,1,1,1,64
n8_d25_s17,8,0.25,17,simulated_annealing,25,1507196,64,64,39,0.975,0,fixed-objective-evaluation-budget classical heuristic; exact optimum used only for retrospective scoring,1,1,0,1,1,1,64
n8_d25_s17,8,0.25,17,simulated_annealing,26,1507197,64,64,40,1.0,1,fixed-objective-evaluation-budget classical heuristic; exact optimum used only for retrospective scoring,1,1,1,1,1,1,64
n8_d25_s17,8,0.25,17,simulated_annealing,27,1507198,64,64,40,1.0,1,fixed-objective-evaluation-budget classical heuristic; exact optimum used only for retrospective scoring,1,1,1,1,1,1,64
n8_d25_s17,8,0.25,17,simulated_annealing,28,1507199,64,64,39,0.975,0,fixed-objective-evaluation-budget classical heuristic; exact optimum used only for retrospective scoring,1,1,0,1,1,1,64
n8_d25_s17,8,0.25,17,simulated_annealing,29,1507200,64,64,40,1.0,1,fixed-objective-evaluation-budget classical heuristic; exact optimum used only for retrospective scoring,1,1,1,1,1,1,64
n8_d25_s17,8,0.25,17,simulated_annealing,30,1507201,64,64,39,0.975,0,fixed-objective-evaluation-budget classical heuristic; exact optimum used only for retrospective scoring,1,1,0,1,1,1,64
n8_d25_s17,8,0.25,17,simulated_annealing,31,1507202,64,64,39,0.975,0,fixed-objective-evaluation-budget classical heuristic; exact optimum used only for retrospective scoring,1,1,0,1,1,1,64
