instance_id,p,optimizer_seed,lbfgsb_approx_ratio,cobyla_approx_ratio,delta_cobyla_minus_lbfgsb,lbfgsb_objective_evaluations,cobyla_objective_evaluations,evidence_label
n10_d25_s17,1,0,0.5712805533308688,0.5712805533246101,-6.258660256719395e-12,45,78,paired ideal-statevector optimizer delta under identical initialization and equal evaluation cap
n10_d25_s17,1,1,0.7123615536214829,0.712361553608129,-1.3353873562493845e-11,45,98,paired ideal-statevector optimizer delta under identical initialization and equal evaluation cap
n10_d25_s17,1,2,0.5000000000000165,0.5024334668816446,0.0024334668816280436,15,13,paired ideal-statevector optimizer delta under identical initialization and equal evaluation cap
n10_d25_s17,1,3,0.5000000000000001,0.515716029606275,0.01571602960627494,27,128,paired ideal-statevector optimizer delta under identical initialization and equal evaluation cap
n10_d25_s17,1,4,0.5000000000000001,0.5157160296513998,0.015716029651399732,24,113,paired ideal-statevector optimizer delta under identical initialization and equal evaluation cap
n10_d25_s17,2,0,0.6360068719673515,0.594589928237112,-0.04141694373023952,105,128,paired ideal-statevector optimizer delta under identical initialization and equal evaluation cap
n10_d25_s17,2,1,0.5000000000000001,0.6362395255554236,0.1362395255554235,25,128,paired ideal-statevector optimizer delta under identical initialization and equal evaluation cap
n10_d25_s17,2,2,0.6062285353014141,0.6097282647176254,0.00349972941621135,115,128,paired ideal-statevector optimizer delta under identical initialization and equal evaluation cap
n10_d25_s17,2,3,0.6103451340121129,0.5809125419357816,-0.02943259207633131,128,128,paired ideal-statevector optimizer delta under identical initialization and equal evaluation cap
n10_d25_s17,2,4,0.525552826745525,0.6267023997534689,0.10114957300794392,65,128,paired ideal-statevector optimizer delta under identical initialization and equal evaluation cap
n10_d25_s17,3,0,0.6421493493785321,0.5821490585947511,-0.060000290783780996,128,128,paired ideal-statevector optimizer delta under identical initialization and equal evaluation cap
n10_d25_s17,3,1,0.6044657703091266,0.581214475795395,-0.023251294513731646,128,128,paired ideal-statevector optimizer delta under identical initialization and equal evaluation cap
n10_d25_s17,3,2,0.6446586636987733,0.6433132682371195,-0.0013453954616537978,128,128,paired ideal-statevector optimizer delta under identical initialization and equal evaluation cap
n10_d25_s17,3,3,0.5000000000010368,0.6577745191540314,0.15777451915299456,49,128,paired ideal-statevector optimizer delta under identical initialization and equal evaluation cap
n10_d25_s17,3,4,0.713598693501009,0.7578359112588359,0.04423721775782685,128,128,paired ideal-statevector optimizer delta under identical initialization and equal evaluation cap
n10_d25_s42,1,0,0.7242677288609599,0.7242677288564302,-4.529709940470639e-12,42,89,paired ideal-statevector optimizer delta under identical initialization and equal evaluation cap
n10_d25_s42,1,1,0.6183676693841444,0.657403255643731,0.039035586259586585,45,58,paired ideal-statevector optimizer delta under identical initialization and equal evaluation cap
n10_d25_s42,1,2,0.5500000000000002,0.6495718472929513,0.0995718472929511,27,76,paired ideal-statevector optimizer delta under identical initialization and equal evaluation cap
n10_d25_s42,1,3,0.7242677288609599,0.7242677288594678,-1.4921397450962104e-12,36,79,paired ideal-statevector optimizer delta under identical initialization and equal evaluation cap
n10_d25_s42,1,4,0.5500000000000002,0.7242677288601073,0.1742677288601071,21,80,paired ideal-statevector optimizer delta under identical initialization and equal evaluation cap
n10_d25_s42,2,0,0.6798152171024526,0.7003631525090086,0.020547935406555973,125,128,paired ideal-statevector optimizer delta under identical initialization and equal evaluation cap
n10_d25_s42,2,1,0.5500000000000148,0.8459827811987509,0.2959827811987361,35,128,paired ideal-statevector optimizer delta under identical initialization and equal evaluation cap
n10_d25_s42,2,2,0.674475057086683,0.6183695036626707,-0.056105553424012244,105,87,paired ideal-statevector optimizer delta under identical initialization and equal evaluation cap
n10_d25_s42,2,3,0.8375908671018596,0.8412337710294452,0.0036429039275855946,128,128,paired ideal-statevector optimizer delta under identical initialization and equal evaluation cap
n10_d25_s42,2,4,0.5500000000000101,0.7468611448331112,0.19686114483310102,20,128,paired ideal-statevector optimizer delta under identical initialization and equal evaluation cap
n10_d25_s42,3,0,0.7250781712320172,0.8356098268037868,0.11053165557176958,128,128,paired ideal-statevector optimizer delta under identical initialization and equal evaluation cap
n10_d25_s42,3,1,0.7499614989773441,0.8440924116784211,0.09413091270107699,128,128,paired ideal-statevector optimizer delta under identical initialization and equal evaluation cap
n10_d25_s42,3,2,0.549999999999999,0.7195812474029444,0.16958124740294533,42,128,paired ideal-statevector optimizer delta under identical initialization and equal evaluation cap
n10_d25_s42,3,3,0.5500000000000621,0.7413483590070905,0.1913483590070284,35,128,paired ideal-statevector optimizer delta under identical initialization and equal evaluation cap
n10_d25_s42,3,4,0.6825360511460268,0.7280077653138772,0.04547171416785045,128,128,paired ideal-statevector optimizer delta under identical initialization and equal evaluation cap
