instance_id,n,density_target,seed,method,runs,eval_budget_per_run,median_objective_evaluations,best_ratio,median_best_ratio,q1_best_ratio,q3_best_ratio,optimum_hit_fraction,evidence_label,target_q090_hit_fraction,target_q095_hit_fraction,target_q100_hit_fraction,oper_l025_hit_fraction,oper_l040_hit_fraction,oper_l055_hit_fraction
n8_d25_s17,8,0.25,17,simulated_annealing,64,4096,4096.0,1.0,1.0,1.0,1.0,1.0,fixed-objective-evaluation-budget classical heuristic; not a quantum-resource match,1.0,1.0,1.0,1.0,1.0,1.0
n8_d25_s17,8,0.25,17,tabu_search,64,4096,4089.0,1.0,1.0,1.0,1.0,1.0,fixed-objective-evaluation-budget classical heuristic; not a quantum-resource match,1.0,1.0,1.0,1.0,1.0,1.0
n8_d25_s42,8,0.25,42,simulated_annealing,64,4096,4096.0,1.0,1.0,1.0,1.0,1.0,fixed-objective-evaluation-budget classical heuristic; not a quantum-resource match,1.0,1.0,1.0,1.0,1.0,1.0
n8_d25_s42,8,0.25,42,tabu_search,64,4096,4089.0,1.0,1.0,1.0,1.0,1.0,fixed-objective-evaluation-budget classical heuristic; not a quantum-resource match,1.0,1.0,1.0,1.0,1.0,1.0
n8_d50_s17,8,0.5,17,simulated_annealing,64,4096,4096.0,1.0,1.0,1.0,1.0,1.0,fixed-objective-evaluation-budget classical heuristic; not a quantum-resource match,1.0,1.0,1.0,1.0,1.0,0.0
n8_d50_s17,8,0.5,17,tabu_search,64,4096,4089.0,1.0,1.0,1.0,1.0,1.0,fixed-objective-evaluation-budget classical heuristic; not a quantum-resource match,1.0,1.0,1.0,1.0,1.0,0.0
n8_d50_s42,8,0.5,42,simulated_annealing,64,4096,4096.0,1.0,1.0,1.0,1.0,1.0,fixed-objective-evaluation-budget classical heuristic; not a quantum-resource match,1.0,1.0,1.0,1.0,1.0,1.0
n8_d50_s42,8,0.5,42,tabu_search,64,4096,4089.0,1.0,1.0,1.0,1.0,1.0,fixed-objective-evaluation-budget classical heuristic; not a quantum-resource match,1.0,1.0,1.0,1.0,1.0,1.0
n8_d75_s17,8,0.75,17,simulated_annealing,64,4096,4096.0,1.0,1.0,1.0,1.0,1.0,fixed-objective-evaluation-budget classical heuristic; not a quantum-resource match,1.0,1.0,1.0,1.0,1.0,1.0
n8_d75_s17,8,0.75,17,tabu_search,64,4096,4089.0,1.0,1.0,1.0,1.0,1.0,fixed-objective-evaluation-budget classical heuristic; not a quantum-resource match,1.0,1.0,1.0,1.0,1.0,1.0
n8_d75_s42,8,0.75,42,simulated_annealing,64,4096,4096.0,1.0,1.0,1.0,1.0,1.0,fixed-objective-evaluation-budget classical heuristic; not a quantum-resource match,1.0,1.0,1.0,1.0,1.0,1.0
n8_d75_s42,8,0.75,42,tabu_search,64,4096,4089.0,1.0,1.0,1.0,1.0,1.0,fixed-objective-evaluation-budget classical heuristic; not a quantum-resource match,1.0,1.0,1.0,1.0,1.0,1.0
n10_d25_s17,10,0.25,17,simulated_annealing,64,4096,4096.0,1.0,1.0,1.0,1.0,1.0,fixed-objective-evaluation-budget classical heuristic; not a quantum-resource match,1.0,1.0,1.0,1.0,1.0,1.0
n10_d25_s17,10,0.25,17,tabu_search,64,4096,4091.0,1.0,1.0,1.0,1.0,1.0,fixed-objective-evaluation-budget classical heuristic; not a quantum-resource match,1.0,1.0,1.0,1.0,1.0,1.0
n10_d25_s42,10,0.25,42,simulated_annealing,64,4096,4096.0,1.0,1.0,1.0,1.0,1.0,fixed-objective-evaluation-budget classical heuristic; not a quantum-resource match,1.0,1.0,1.0,1.0,1.0,1.0
n10_d25_s42,10,0.25,42,tabu_search,64,4096,4091.0,1.0,1.0,1.0,1.0,1.0,fixed-objective-evaluation-budget classical heuristic; not a quantum-resource match,1.0,1.0,1.0,1.0,1.0,1.0
n10_d50_s17,10,0.5,17,simulated_annealing,64,4096,4096.0,1.0,1.0,1.0,1.0,1.0,fixed-objective-evaluation-budget classical heuristic; not a quantum-resource match,1.0,1.0,1.0,1.0,1.0,1.0
n10_d50_s17,10,0.5,17,tabu_search,64,4096,4091.0,1.0,1.0,1.0,1.0,1.0,fixed-objective-evaluation-budget classical heuristic; not a quantum-resource match,1.0,1.0,1.0,1.0,1.0,1.0
